"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"psmd5",3056.22860805018,-0.898356802147456,0.373215143811806,0.00212551442731138,0.0379273369304744,"Significant"
"zswim2",5611.50263540225,-0.875088060284387,0.361192538670457,0.00212435216728302,0.0379273369304744,"Significant"
"b3galt2",2878.52923490028,-0.705700113949635,0.273037266279475,0.0021414877263549,0.0381570072394437,"Significant"
"pabpc1b",19483.3908200336,-0.76496846132678,0.302553410174372,0.00214506179621772,0.0381938496089188,"Significant"
"poc1a",846.913591894289,-0.972167849161449,0.415334263244562,0.00215363731756681,0.0382659244477271,"Significant"
"mrpl39",4176.26436351205,-0.750552092944225,0.29577227560578,0.00215714952262326,0.0383014888978381,"Significant"
"dcun1d5",6584.92349105017,-0.661876533833049,0.252110304801078,0.00216091135644789,0.0383414327800813,"Significant"
"ENSDARG00000109745",1215.44360399831,-1.37927713199531,0.671955846115596,0.00216856455073049,0.0384503176110291,"Significant"
"bbs7",4725.5493877374,-0.714169261689928,0.277814160869516,0.00217536954410941,0.0384908092735783,"Significant"
"sae1",1420.55669949813,-0.782970384127727,0.312972168411981,0.00218285714714427,0.0385565660397883,"Significant"
"abhd2b",348.326910240339,-1.09504797509779,0.490048137130436,0.00219297929482951,0.0386442768697387,"Significant"
"hdhd2",1390.84295049918,-0.758232171969566,0.301061658876634,0.00222089098882131,0.0389963234221359,"Significant"
"hmmr",1777.31734227052,-1.10587899543951,0.499143880584132,0.0022260940108488,0.0390190165856976,"Significant"
"ppm1ba",11902.6869739535,-0.770673094365623,0.307851737800425,0.00223426526529547,0.0390957873026686,"Significant"
"col23a1b",1539.4413851648,-0.93780886545908,0.398147205497089,0.00225010916399569,0.0393458743814557,"Significant"
"mns1",1263.66280603762,-1.47091768250345,0.75357779586249,0.00225319243996043,0.0393726356410728,"Significant"
"phgdh",1648.35173689399,-0.780477184749389,0.313247703879043,0.00226281252622942,0.0395135066133244,"Significant"
"kif17",4324.39301599381,-1.123895461071,0.513895072578527,0.00228840083157147,0.0399053666330774,"Significant"
"bicc2",1310.21368562665,-0.881443861138383,0.369234943791484,0.00230920225068638,0.0401609690564039,"Significant"
"casp2",4504.4130058115,-0.677953520297503,0.26236523106516,0.00231514510999575,0.0402230976822028,"Significant"
"si:dkey-65b13.8",903.27874917835,-0.88289738491855,0.370162880328222,0.00231772611767692,0.0402230976822028,"Significant"
