"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significance"
"si:dkeyp-5g9.1",179.301211555545,3.00536916449094,0.973886544453145,7.24303911985788e-05,0.00336967443823847,"Significant"
"apold1b",816.37732770891,1.49458088375543,0.454467147256087,7.34996143503701e-05,0.00340691539644174,"Significant"
"si:ch211-12p12.2",209.064048255191,2.67201650321851,0.860742139239431,7.42583042162049e-05,0.00343580164854357,"Significant"
"si:ch211-217k17.8",1104.68712155366,5.9579317876447,2.10055408423268,7.53198361903177e-05,0.00346594273431126,"Significant"
"zgc:174945",180.359853500819,2.08560187749778,0.659726300146999,7.52865218729011e-05,0.00346594273431126,"Significant"
"mfap4.12",224.238507903996,3.56971664884659,1.17589642710219,7.6317595129679e-05,0.00350549388498734,"Significant"
"mpeg1.2",2064.24107731055,2.57123759326666,0.824158072193509,7.67434855895533e-05,0.00351260146728355,"Significant"
"myhc4",207.428555251099,2.27161753342946,0.724431034588903,7.71029942163556e-05,0.00352242597901927,"Significant"
"strbp",1332.0625383034,1.31883714532476,0.398121905748217,7.75854205562606e-05,0.00353437021562835,"Significant"
"jdp2b",2182.95658598909,2.16454373371906,0.687612867359464,7.95673323802933e-05,0.00360255305803989,"Significant"
"naga",1574.1067709743,1.45183944788175,0.443435873318871,7.94305507198981e-05,0.00360255305803989,"Significant"
"mhc2d8.37a2",354.556767496597,3.64707568272972,1.20697617692156,7.98809395053053e-05,0.0036103052070535,"Significant"
"zgc:174917",1520.85177408632,7.45687897486012,2.82313864476135,8.09938811739107e-05,0.00364113449851863,"Significant"
"si:ch73-50f9.4",196.961317893137,3.10090978317389,1.02046892893456,8.1519605539333e-05,0.00365828247513237,"Significant"
"grm1b",23.9143794016919,7.89865426914731,3.39952123286328,8.19542572831095e-05,0.00366931636244531,"Significant"
"si:dkey-264f17.5",347.755656917959,1.71233335277323,0.534607450404428,8.20549153029577e-05,0.00366931636244531,"Significant"
"dspa",4414.02646116976,1.75810449098355,0.550878028167346,8.30339936450749e-05,0.00370004729151296,"Significant"
"arrb2b",2926.40697361053,1.1227100705164,0.335421004248942,8.45888816715163e-05,0.00375613151450315,"Significant"
"ENSDARG00000113315",204.626328131808,4.3256794763736,1.47813707894792,8.68324337401307e-05,0.00384229730799479,"Significant"
"gucy2ca",157.381820512763,3.78010322674477,1.27291928718274,8.81130807133475e-05,0.00389217275520371,"Significant"
"pln2",1157.25700785128,1.17364463865686,0.352671300207001,8.89275856059848e-05,0.00392131988354738,"Significant"
"elf1",3279.58807574187,1.25719441549522,0.381328931477157,9.08171944910398e-05,0.00399769091375055,"Significant"
"mhc1lba",24.5449378909166,7.91094397911917,3.43134012819608,9.16511261434366e-05,0.00402740780479521,"Significant"
"wnt3",27.1582108014195,8.04649753248398,3.48755608247529,9.38437505175254e-05,0.00411662334666411,"Significant"
"pik3r6a",770.844820167256,1.49539598196997,0.466600334586353,9.51177587960524e-05,0.00416530358251107,"Significant"
"ca15c",68.9293680537347,5.20183128493534,1.79442107745481,9.55697214311014e-05,0.00417787980497513,"Significant"
"gp1bb",1356.68931458017,1.85460158399667,0.591097852303818,9.58045966792191e-05,0.00418093898244682,"Significant"
"spink2.7",1854.21428903287,1.80864936100354,0.576385966234478,9.64103264210441e-05,0.0042001440316247,"Significant"
"cxcr4a",406.599714044355,2.30175672435653,0.752902367805747,9.77749078216747e-05,0.00424500477366192,"Significant"
"arhgap27l",1015.24430165036,1.89013842639428,0.606915214342421,9.91654970583217e-05,0.00429801910754486,"Significant"
"gpr137ba",494.075132086272,1.22055665508691,0.373138082491671,0.000100295719472052,0.0043346943845106,"Significant"
"si:ch211-170d8.8",409.769472643924,1.3769532581464,0.42616520496553,0.000100353602985909,0.0043346943845106,"Significant"
"prkag2b",334.248073399979,1.52401951426143,0.480299766266845,0.000100876672961037,0.00433513227614763,"Significant"
"sgk2a",916.530310688408,1.17751018058323,0.359992537335535,0.000100784174459527,0.00433513227614763,"Significant"
"zgc:174320",23.7050448484912,7.83939518670214,3.42920568956085,0.000100552496264804,0.00433513227614763,"Significant"
"gdpd2",1575.48135239601,1.39870205678481,0.435374718906621,0.000101753381555061,0.00435803545494691,"Significant"
"si:dkey-33i11.9",678.712582357717,2.34948711180947,0.773445611447009,0.000101639210567078,0.00435803545494691,"Significant"
"si:dkey-65b12.6",197.276058306225,3.63350098789268,1.24412935876333,0.00010299485102395,0.00439635428907786,"Significant"
"sting1",158.400467922306,2.40675458198409,0.794664394604465,0.000103642731589511,0.00441657388143204,"Significant"
"gmip",408.801314658746,1.34637386129018,0.418487183141524,0.000104862535940902,0.00445729686203228,"Significant"
"ca6",529.658148691022,2.3861153596092,0.791020332220176,0.000108139245990707,0.00456160041607857,"Significant"
"thy1",1422.67373401032,2.25922266498691,0.743787807301169,0.000108100344781129,0.00456160041607857,"Significant"
"cyp24a1",385.135444237653,2.21711882753466,0.732489772232289,0.000110844911714203,0.00465405673536483,"Significant"
"myod1",388.769062516175,1.94098067461011,0.6329988514401,0.000110867689535017,0.00465405673536483,"Significant"
"zp3a.2",248.011062959489,2.46775562976609,0.825669955684131,0.000112287540656407,0.00469036341572189,"Significant"
"zgc:171977",225.035763155255,2.60734285051483,0.877884306791943,0.000113990214324815,0.00474584874253807,"Significant"
"nktr",4659.62936893955,1.09062070357926,0.332159084365171,0.00011440218863034,0.0047551926110201,"Significant"
"lrrfip1a",2745.69042356777,1.41339811875551,0.440454650144924,0.000114788676386988,0.00476344826479881,"Significant"
"si:dkey-262k9.2",3822.59688123604,1.77474822678441,0.573552223524264,0.000115115284111436,0.00476919612523769,"Significant"
"si:ch211-246b8.2",733.628636228201,1.50695544241498,0.480580467937876,0.000116138004773955,0.00479868515076096,"Significant"
"nav3",472.740885786649,1.6009802355131,0.513396098739596,0.00011775050225484,0.00485313651691861,"Significant"
"si:ch211-226h7.8",221.094686428134,3.89051785144862,1.37076820741758,0.000120823700022692,0.00496512952038145,"Significant"
"si:ch211-246b8.1",397.758440187297,1.46879930847226,0.467709190908249,0.000122523400109614,0.00502682978928681,"Significant"
"erbb3a",1151.03005393398,2.62068610757207,0.891200091250428,0.000124075802081662,0.00508229719189101,"Significant"
"si:ch211-226h7.6",129.4585688029,3.8896699672369,1.37173083614234,0.000124361869760587,0.00508579872222528,"Significant"
"ENSDARG00000100739",473.559763085405,2.36209124222932,0.794649431215864,0.000124739630686799,0.00509303274728468,"Significant"
"dap1b",4197.82134936094,0.94179305700371,0.282567410416724,0.000125471769637164,0.00511468925908408,"Significant"
"caspa",423.424992466173,1.50108510909806,0.482672454013556,0.000127921560929147,0.00519783842525405,"Significant"
"dusp5",701.407835851976,1.94613530281326,0.643526679259206,0.000128850612896045,0.0052188614855898,"Significant"
"si:ch211-182p11.4",378.776028403606,5.80142557120112,2.20518946184805,0.000130398025878301,0.00526989566277513,"Significant"
"myog",15888.8336600052,1.63074400552252,0.526303400495817,0.000131076227476615,0.00528368481346516,"Significant"
"ENSDARG00000116937",760.342653765913,1.05056269211058,0.322044660865236,0.000131353993329702,0.00528647698551523,"Significant"
"vsig8b",238.293756033983,3.51731758102268,1.24202351605788,0.000134179399093985,0.00539163021240568,"Significant"
"jac11",55.3080707962608,5.11201117460127,1.82512977060431,0.000134764156545417,0.00539801767647559,"Significant"
"upk2",155.89892560003,3.41294839718663,1.20158459896557,0.000134631693944598,0.00539801767647559,"Significant"
"scara3",1212.44695542972,1.06860283510879,0.331646598691953,0.000137526254228508,0.00549130421411625,"Significant"
"cbfb",923.637673809324,1.26833051542428,0.401713209910382,0.000138079423694343,0.00550472293674539,"Significant"
"kif26ab",766.384572062807,2.28178489252005,0.77455762160027,0.00013878073492737,0.00550576364230453,"Significant"
"zgc:92242",733.876878362926,2.23311457436445,0.754084675028705,0.000138744816271601,0.00550576364230453,"Significant"
"ctdsp2",3970.57135473343,1.12430409826997,0.348314126199278,0.000139562507484186,0.00552044832646107,"Significant"
"zc3h12aa",227.267648623754,2.91409845724558,1.01559145612708,0.000140423413061753,0.00553722494273833,"Significant"
